model: 10.65M params (10.62M non-emb)
iter   1760 | loss 0.2135 | lr 4.61e-04 | 352.8 ms/it | 46.4k tok/s
iter   1770 | loss 0.2195 | lr 4.59e-04 | 84.9 ms/it | 193.0k tok/s
iter   1780 | loss 0.2197 | lr 4.58e-04 | 85.0 ms/it | 192.7k tok/s
iter   1790 | loss 0.2097 | lr 4.56e-04 | 84.9 ms/it | 192.9k tok/s
iter   1800 | loss 0.2100 | lr 4.55e-04 | 84.9 ms/it | 192.9k tok/s
iter   1810 | loss 0.2083 | lr 4.53e-04 | 84.9 ms/it | 192.9k tok/s
iter   1820 | loss 0.2097 | lr 4.52e-04 | 85.0 ms/it | 192.8k tok/s
iter   1830 | loss 0.2078 | lr 4.50e-04 | 84.9 ms/it | 192.9k tok/s
iter   1840 | loss 0.2060 | lr 4.49e-04 | 84.9 ms/it | 192.9k tok/s
iter   1850 | loss 0.2082 | lr 4.47e-04 | 85.0 ms/it | 192.7k tok/s
iter   1860 | loss 0.2042 | lr 4.46e-04 | 85.2 ms/it | 192.2k tok/s
iter   1870 | loss 0.2054 | lr 4.44e-04 | 85.1 ms/it | 192.5k tok/s
iter   1880 | loss 0.2115 | lr 4.42e-04 | 85.1 ms/it | 192.4k tok/s
iter   1890 | loss 0.1955 | lr 4.41e-04 | 85.2 ms/it | 192.3k tok/s
iter   1900 | loss 0.1984 | lr 4.39e-04 | 85.2 ms/it | 192.3k tok/s
iter   1910 | loss 0.1875 | lr 4.38e-04 | 85.2 ms/it | 192.4k tok/s
iter   1920 | loss 0.1887 | lr 4.36e-04 | 85.1 ms/it | 192.4k tok/s
iter   1930 | loss 0.2027 | lr 4.35e-04 | 85.2 ms/it | 192.4k tok/s
iter   1940 | loss 0.1798 | lr 4.33e-04 | 85.3 ms/it | 192.2k tok/s
iter   1950 | loss 0.1846 | lr 4.31e-04 | 85.3 ms/it | 192.1k tok/s
iter   1960 | loss 0.1838 | lr 4.30e-04 | 85.2 ms/it | 192.2k tok/s
iter   1970 | loss 0.1828 | lr 4.28e-04 | 85.2 ms/it | 192.2k tok/s
iter   1980 | loss 0.1863 | lr 4.26e-04 | 85.2 ms/it | 192.4k tok/s
iter   1990 | loss 0.1854 | lr 4.25e-04 | 85.2 ms/it | 192.2k tok/s
iter   2000 | loss 0.1719 | lr 4.23e-04 | 85.3 ms/it | 192.1k tok/s
           eval | train 0.1818 | val 3.1864
           saved ckpt -> out/tiny/ckpt.pt
iter   2010 | loss 0.1849 | lr 4.22e-04 | 361.1 ms/it | 45.4k tok/s
iter   2020 | loss 0.1822 | lr 4.20e-04 | 85.2 ms/it | 192.3k tok/s
iter   2030 | loss 0.1685 | lr 4.18e-04 | 85.2 ms/it | 192.2k tok/s
iter   2040 | loss 0.1778 | lr 4.17e-04 | 85.3 ms/it | 192.1k tok/s
iter   2050 | loss 0.1672 | lr 4.15e-04 | 85.2 ms/it | 192.3k tok/s
iter   2060 | loss 0.1750 | lr 4.13e-04 | 85.2 ms/it | 192.2k tok/s
iter   2070 | loss 0.1713 | lr 4.12e-04 | 85.2 ms/it | 192.2k tok/s
iter   2080 | loss 0.1686 | lr 4.10e-04 | 85.3 ms/it | 192.1k tok/s
iter   2090 | loss 0.1774 | lr 4.08e-04 | 85.2 ms/it | 192.3k tok/s
iter   2100 | loss 0.1671 | lr 4.07e-04 | 85.2 ms/it | 192.2k tok/s
iter   2110 | loss 0.1696 | lr 4.05e-04 | 85.2 ms/it | 192.3k tok/s
iter   2120 | loss 0.1722 | lr 4.03e-04 | 85.2 ms/it | 192.2k tok/s
iter   2130 | loss 0.1670 | lr 4.02e-04 | 85.2 ms/it | 192.3k tok/s
iter   2140 | loss 0.1724 | lr 4.00e-04 | 85.2 ms/it | 192.2k tok/s
iter   2150 | loss 0.1629 | lr 3.98e-04 | 85.2 ms/it | 192.2k tok/s
iter   2160 | loss 0.1707 | lr 3.97e-04 | 85.2 ms/it | 192.2k tok/s
iter   2170 | loss 0.1655 | lr 3.95e-04 | 85.2 ms/it | 192.3k tok/s
iter   2180 | loss 0.1517 | lr 3.93e-04 | 85.3 ms/it | 192.1k tok/s
iter   2190 | loss 0.1587 | lr 3.92e-04 | 85.3 ms/it | 192.2k tok/s
iter   2200 | loss 0.1624 | lr 3.90e-04 | 85.3 ms/it | 192.1k tok/s
iter   2210 | loss 0.1544 | lr 3.88e-04 | 85.2 ms/it | 192.2k tok/s
iter   2220 | loss 0.1646 | lr 3.87e-04 | 85.2 ms/it | 192.3k tok/s
iter   2230 | loss 0.1589 | lr 3.85e-04 | 85.2 ms/it | 192.2k tok/s
iter   2240 | loss 0.1605 | lr 3.83e-04 | 85.2 ms/it | 192.3k tok/s
iter   2250 | loss 0.1495 | lr 3.82e-04 | 85.2 ms/it | 192.3k tok/s
           eval | train 0.1531 | val 3.3588
iter   2260 | loss 0.1544 | lr 3.80e-04 | 353.7 ms/it | 46.3k tok/s
iter   2270 | loss 0.1668 | lr 3.78e-04 | 85.2 ms/it | 192.2k tok/s
iter   2280 | loss 0.1485 | lr 3.77e-04 | 85.2 ms/it | 192.3k tok/s
iter   2290 | loss 0.1470 | lr 3.75e-04 | 85.3 ms/it | 192.1k tok/s
iter   2300 | loss 0.1475 | lr 3.73e-04 | 85.2 ms/it | 192.3k tok/s
iter   2310 | loss 0.1499 | lr 3.71e-04 | 85.2 ms/it | 192.3k tok/s
iter   2320 | loss 0.1438 | lr 3.70e-04 | 85.2 ms/it | 192.3k tok/s
iter   2330 | loss 0.1512 | lr 3.68e-04 | 85.2 ms/it | 192.2k tok/s
iter   2340 | loss 0.1505 | lr 3.66e-04 | 85.2 ms/it | 192.2k tok/s
iter   2350 | loss 0.1528 | lr 3.65e-04 | 85.3 ms/it | 192.1k tok/s
iter   2360 | loss 0.1414 | lr 3.63e-04 | 85.2 ms/it | 192.3k tok/s
iter   2370 | loss 0.1376 | lr 3.61e-04 | 85.2 ms/it | 192.2k tok/s
iter   2380 | loss 0.1483 | lr 3.59e-04 | 85.3 ms/it | 192.1k tok/s
iter   2390 | loss 0.1391 | lr 3.58e-04 | 85.2 ms/it | 192.3k tok/s
iter   2400 | loss 0.1481 | lr 3.56e-04 | 85.2 ms/it | 192.3k tok/s
iter   2410 | loss 0.1498 | lr 3.54e-04 | 85.2 ms/it | 192.4k tok/s
iter   2420 | loss 0.1520 | lr 3.52e-04 | 85.2 ms/it | 192.2k tok/s
iter   2430 | loss 0.1400 | lr 3.51e-04 | 85.3 ms/it | 192.2k tok/s
iter   2440 | loss 0.1336 | lr 3.49e-04 | 85.2 ms/it | 192.3k tok/s
iter   2450 | loss 0.1328 | lr 3.47e-04 | 85.2 ms/it | 192.3k tok/s
iter   2460 | loss 0.1459 | lr 3.46e-04 | 85.2 ms/it | 192.3k tok/s
iter   2470 | loss 0.1356 | lr 3.44e-04 | 85.2 ms/it | 192.3k tok/s
iter   2480 | loss 0.1363 | lr 3.42e-04 | 85.3 ms/it | 192.2k tok/s
iter   2490 | loss 0.1325 | lr 3.40e-04 | 85.2 ms/it | 192.2k tok/s
iter   2500 | loss 0.1365 | lr 3.39e-04 | 85.2 ms/it | 192.3k tok/s
